zeme,year,co2,population,gdp,primary_energy_consumption,gdp_pc,en_int,co2_int,population_g,gdp_pc_g,en_int_g,co2_int_g,interactions,co2_g
Poland,1998,338.98,38326431.0,258431144714.153,1104.199,6742.896167768739,4.272700959558643e-09,0.30699176507133225,-0.05704554310572707,4.681327369345856,-8.42655320723832,-3.6433661564769237,-0.23929624502428837,-7.684933782499403
Poland,1999,329.204,38287717.0,270575301764.16,1082.722,7066.895677382906,4.0015551786900594e-09,0.30405219437676523,-0.10101123164846237,4.805049663420524,-6.346004165397812,-0.957540569169335,-0.284439652718516,-2.8839459555136004
Poland,2000,317.306,38258077.0,283174187558.032,1017.525,7401.683768842641,3.593283020513565e-09,0.3118409867079433,-0.0774138609518027,4.737413805770485,-10.202837145685583,2.5616629234145982,-0.6329980898336482,-3.6141723672859505
Poland,2001,313.267,38247359.0,286667833930.23,1010.456,7495.101398510417,3.5248321590413513e-09,0.3100253746823216,-0.02801499929021567,1.2621132243046729,-1.9049671590419481,-0.5822236662309299,-0.019811158258586925,-1.2729037585170078
Poland,2002,305.852,38229407.0,292117946677.278,999.579,7641.184355207969,3.421833582529939e-09,0.3059808179243461,-0.046936574104372575,1.9490457691017316,-2.9220845664159167,-1.3045889427986013,-0.04242614440121972,-2.3669904586183788
Poland,2003,318.733,38203527.0,302410346199.761,1034.207,7915.770347584949,3.4198796866455142e-09,0.3081907200396052,-0.06769657714020827,3.593500426276619,-0.057100844833612996,0.7222355081766718,0.02057555314705084,4.21151406562652
Poland,2004,323.621,38167568.0,317805438387.054,1041.219,8326.583406808995,3.2762781067701664e-09,0.3108097335911081,-0.09412481732380407,5.189805176060758,-4.19902432346102,0.8498028594651874,-0.21288690815675082,1.53357198658437
Poland,2005,322.577,38124377.0,328168510412.522,1061.937,8607.839294331865,3.2359503313255112e-09,0.303762840921825,-0.11316151974891664,3.377806643873593,-1.2309020824978534,-2.2672689776677912,-0.0890736480404053,-0.32259958408137335
Poland,2006,336.387,38071169.0,348521872927.444,1110.359,9154.483092637474,3.185909081325168e-09,0.30295336913556786,-0.13956424783020394,6.350534432788102,-1.5464158864220034,-0.26648150372857726,-0.11692441783065366,4.281148376976662
Poland,2007,335.735,38020420.0,372083512402.176,1104.644,9786.412469987865,2.968806633941945e-09,0.3039304970651178,-0.13330034599147167,6.902949854794338,-6.8144583489783805,0.32253410230691504,-0.4715496370329193,-0.19382437490151894
